Nome;Durata;Repliche;Conduttori
AGRINET YOUNG;30;3;RADUNI
AxABITUDINE;60;2;Stefano Murtas
BOX POPULI;60;2;Elena Moretto,Antonella Fittipaldi
CINEUNI;30;3;RADUNI
EUROPHONICA;30;3;RADUNI
FR85609;30;4;Elena Santoro,Giacomo Longato
I TASCABILI;30;4;Simone Casciano,Cecilia Passarella
INDI-RE;30;3;RADUNI
LA MONTAGNA TROPICALE;60;2;Beatrice Lio,Giacomo Longato
LE OCCHIAIE;60;2;Cecilia Passarella,Sofia Ricci,Tommaso Asselli
MASCHI CONTRO FEMINE;60;2;Anna Dall'Agnol
NO CONTENT;60;2;Elena Moretto,Lorenzo Caviglia
PERSONE;30;4;Marianna Roccabruna
ROAD TO JA;90;2;Mattia Beber,Pietro cortelletti
SANBASQUARE;30;4;Filippo Faggion,Martina Gorgoglione
SPLEEN;30;4;Matteo Virgili
TERRA TERRA;30;4;Michele Simeone
TREAGLE;60;2;Christopher Andreozzi,Dilan Piromallo,Diego Antonacci
